Year,Temp Max,Temp Min
1951,35.25,24.70000076
1952,36.61000061,25.17000008
1953,36.02000046,24.13999939
1954,35.5,24.31999969
1955,35.93999863,23.26000023
1956,37.04999924,24.42000008
1957,36.16999817,24.12000084
1958,36.25,24.04000092
1959,36.68999863,24.15999985
1960,35.93000031,23.63999939
1961,36.75,23.64999962
1962,35.77999878,23.38999939
1963,35.68999863,23.61000061
1964,37.02999878,24.31999969
1965,35.95000076,23.51000023
1966,36.91999817,23.40999985
1967,36.25,24.25
1968,35.63000107,23.28000069
1969,36.86000061,24.06999969
1970,36.15000153,23.59000015
1971,36.02999878,22.26000023
1972,36.40999985,23.37000084
1973,37.97000122,24.05999947
1974,37.22000122,24.5
1975,36.65999985,23.21999931
1976,37.20000076,22.14999962
1977,36.70999908,23.19000053
1978,36.74000168,23.46999931
1979,36.68999863,23.61000061
1980,37.72000122,24.14999962
1981,36.31000137,23.63999939
1982,36.91999817,23.70000076
1983,37.66999817,24.28000069
1984,36.45999908,23.44000053
1985,36.79000092,23.89999962
1986,36.86999893,23.95000076
1987,37.38999939,24.04999924
1988,36.93999863,24.44000053
1989,37.0,23.45000076
1990,37.65000153,24.04000092
1991,37.11000061,23.51000023
1992,37.40999985,22.75
1993,38.47999954,24.70000076
1994,36.95999908,23.97999954
1995,36.63000107,23.23999977
1996,37.74000168,23.32999992
1997,36.52999878,23.06999969
1998,38.41999817,25.43000031
1999,36.99000168,23.05999947
2000,38.06999969,23.37999916
2001,36.52999878,23.80999947
2002,36.97000122,23.54999924
2003,37.95999908,24.19000053
2004,37.56000137,24.42000008
2005,37.97000122,24.47999954
2006,37.72000122,23.81999969
2007,36.68000031,24.0
2008,36.47000122,23.30999947
2009,37.65000153,24.09000015
2010,37.66999817,24.72999954
2011,35.47000122,22.92000008
2012,36.52999878,23.62999916
2013,37.00999832,24.07999992
2014,36.74688339,24.28183365
2015,36.42903137,23.70661163
2016,38.92580795,25.05395889
2017,37.62717056,24.17944336
2018,36.54418182,23.78006363
2019,37.53182602,24.55163956
2020,36.53153229,24.47536469
